"datetime","deployment","pm10.avg","wd","ws"
2015-12-07 19:00:00,"T29-4N",59.85474,334.3266,2.253796864
2015-12-07 20:00:00,"T29-4N",75.08595,314.5588,1.175894016
2015-12-07 21:00:00,"T29-4N",48.67252,215.3928,1.371876352
2015-12-07 22:00:00,"T29-4N",26.89381,59.01283,2.645761536
2015-12-07 23:00:00,"T29-4N",19.54358,317.5345,2.743752704
2015-12-08 00:00:00,"T29-4N",23.82198,77.54739,3.331699712
2015-12-08 01:00:00,"T29-4N",16.33532,35.34615,0.783929344
2015-12-08 02:00:00,"T29-4N",14.26701,95.90425,0.195982336
2015-12-08 03:00:00,"T29-4N",52.98526,305.181,2.547770368
2015-12-08 04:00:00,"T29-4N",34.40104,233.3986,1.763841024
2015-12-08 05:00:00,"T29-4N",16.15577,266.8375,0.97991168
2015-12-08 06:00:00,"T29-4N",13.9693,341.355,3.135717376
2015-12-08 07:00:00,"T29-4N",14.91893,182.1056,1.763841024
2015-12-08 08:00:00,"T29-4N",25.45792,5.862489,1.567858688
2015-12-08 09:00:00,"T29-4N",31.94196,57.1208,1.95982336
2015-12-08 10:00:00,"T29-4N",44.93768,128.1837,2.057814528
2015-12-08 11:00:00,"T29-4N",10.38768,47.3442,1.175894016
2015-12-08 12:00:00,"T29-4N",19.70292,130.6522,1.763841024
2015-12-08 13:00:00,"T29-4N",11.3225,83.40555,0.48995584
2015-12-08 14:00:00,"T29-4N",15.53736,57.7103,0.48995584
2015-12-08 15:00:00,"T29-4N",52.75942,122.9996,2.547770368
2015-12-08 16:00:00,"T29-4N",24.19415,158.2113,1.763841024
2015-12-08 17:00:00,"T29-4N",61.64521,88.7804,1.95982336
2015-12-08 18:00:00,"T29-4N",57.61784,107.9066,1.567858688
2015-12-08 19:00:00,"T29-4N",21.72625,345.3797,1.763841024
2015-12-08 20:00:00,"T29-4N",26.66578,321.5374,2.4497792
2015-12-08 21:00:00,"T29-4N",32.40462,333.1194,0.293973504
2015-12-08 22:00:00,"T29-4N",28.38313,318.9345,2.253796864
2015-12-08 23:00:00,"T29-4N",20.1454,207.5603,1.175894016
2015-12-09 00:00:00,"T29-4N",33.93806,311.1887,1.175894016
2015-12-09 01:00:00,"T29-4N",27.92542,29.77191,2.057814528
2015-12-09 02:00:00,"T29-4N",29.37011,135.7887,3.135717376
2015-12-09 03:00:00,"T29-4N",20.74493,50.11398,0.881920512
2015-12-09 04:00:00,"T29-4N",28.57576,173.3303,0.195982336
2015-12-09 05:00:00,"T29-4N",4.795322,347.1807,1.861832192
2015-12-09 06:00:00,"T29-4N",28.09446,67.24849,0
2015-12-09 07:00:00,"T29-4N",17.81801,4.154673,1.175894016
2015-12-09 08:00:00,"T29-4N",14.31549,28.60808,2.155805696
2015-12-09 09:00:00,"T29-4N",17.95007,140.1666,0.881920512
