"day","dca.group","daily.pm10.uw","daily.pm10.dw","ws.avg.mps","pm10.delta"
1,"north (T29)",0.368936381944444,0.188820770138889,1.11705227943936,-0.180115611805555
2,"north (T29)",1.41841386956215,1.37091804357615,1.07762690487091,-0.0474958259859988
2,"south (T2 & T3)",0.156875,0.206595888888889,0.96176115504128,0.0497208888888888
3,"north (T29)",0.791945052259887,0.840751631944446,0.95277988540416,0.0488065796845587
3,"south (T2 & T3)",1.19980572916667,1.33168435416667,0.38483272816384,0.131878625
4,"north (T29)",0.5405516875,0.525250201388887,0.96373137833984,-0.0153014861111125
4,"south (T2 & T3)",0.477955298611112,0.344166666666667,1.08537955981312,-0.133788631944446
5,"central (T12)",0.197067941384181,0.182308259722222,3.08832100786176,-0.0147596816619587
5,"north (T29)",0.606997316384179,0.536493131944446,1.73033588383744,-0.0705041844397334
5,"south (T2 & T3)",1.33982729166667,1.40958333333333,2.71327199328768,0.0697560416666665
6,"central (T12)",0.609281383014572,0.606038997222223,5.20743489091584,-0.00324238579234937
6,"south (T2 & T3)",0.0848168479166667,0.0335833333333333,2.29726354311168,-0.0512335145833333
7,"central (T12)",0.837453979166667,0.854220043408663,2.49255979216077,0.0167660642419962
7,"north (T29)",0.976223659722223,-0.241707286832184,2.49694038933504,-1.21793094655441
8,"central (T12)",0.9550055625,1.03808312355863,3.18469414569574,0.0830775610586268
8,"north (T29)",0.617948065972223,0.551347577475225,3.55558470645077,-0.0666004884969978
9,"north (T29)",0.685500810925489,0.809031683333333,1.27037318053888,0.123530872407845
10,"north (T29)",0.818532532638889,0.794926305693904,1.24299444819968,-0.0236062269449846
11,"north (T29)",0.441499690972222,0.47534461391243,0.67899256201216,0.0338449229402071
11,"south (T2 & T3)",0.80732490625,0.312953270833333,0.63465641513472,-0.494371635416667
12,"north (T29)",0.535059105191257,0.496032473246812,0.50376867504128,-0.0390266319444445
13,"north (T29)",0.624196125694444,0.703663413194443,1.5879664756736,0.0794672874999984
15,"north (T29)",0.295750534722223,0.315942118644068,2.69406726217728,0.0201915839218454
15,"south (T2 & T3)",0.0620833333333333,0.2926288125,2.61325962512384,0.230545479166667
16,"central (T12)",0.189611738194445,0.162900875694445,0.30664180219904,-0.0267108625
16,"north (T29)",0.815634006885593,0.774417637750455,1.27767417582933,-0.0412163691351379
17,"central (T12)",0.167814374305555,0.214995755555555,0.83231346311168,0.04718138125
17,"north (T29)",0.525015034722221,0.557313374316942,1.46750005338112,0.0322983395947209
18,"north (T29)",1.45728296527778,1.89898062591268,3.148554219008,0.441697660634901
23,"north (T29)",1.30627285416667,1.55278117430556,2.70282845652582,0.246508320138889
24,"south (T2 & T3)",0.389739993055555,0,0.63644556219904,-0.389739993055555
25,"central (T12)",-0.277992182638889,0.126815238194445,0.4380597174272,0.404807420833333
26,"north (T29)",0.388763054166667,0.380546989289077,2.06983216484352,-0.00821606487758958
27,"north (T29)",1.02602941358025,0.802988694444446,1.29227616641024,-0.2230407191358
28,"central (T12)",0.649799354166667,0.7811020625,0.77755599843328,0.131302708333333
28,"north (T29)",0.06265555625,0.0787043284722221,0.26283583045632,0.0160487722222221
29,"central (T12)",0.37590445,0.407957057638889,1.23751870173184,0.0320526076388887
29,"north (T29)",0.2654246875,0.272484048611111,0.6570895761408,0.00705936111111127
29,"south (T2 & T3)",0.157208333333333,0.228292889344263,0.7333493787136,0.0710845560109292
30,"north (T29)",0.121688777777778,0.1116772,2.54074636107776,-0.0100115777777779
31,"central (T12)",0.510457215277778,0.472105841666666,4.18347030142976,-0.0383513736111116
31,"north (T29)",0.108879881944445,0.0762380909722221,3.70160461225984,-0.0326417909722225
31,"south (T2 & T3)",0.0292916666666667,0.118375380649717,1.4950364442112,0.0890837139830508
