"data.id.x","datetime","dca.group","teom.uw","ws.uw","wd.uw","pm10.uw","teom.dw","ws.dw","wd.dw","pm10.dw","day","ws.avg"
156242,2016-01-23 14:00:00,"north (T29)","T29-4S",6.85938176,143.6841,3.25105723333333,"T29-4N",9.211169792,144.3516,5.03463056666667,23,8.035275776
156337,2016-01-27 15:00:00,"north (T29)","T29-4S",2.743752704,148.5778,24.6247059259259,"T29-4N",3.037726208,151.7117,19.2717286666667,27,2.890739456
148616,2016-01-01 23:00:00,"north (T29)","T29-4N",2.351788032,320.5838,8.85447316666666,"T29-4S",2.645761536,325.25,4.53169848333333,1,2.498774784
148618,2016-01-02 01:00:00,"north (T29)","T29-4N",3.135717376,337.675,5.4705525,"T29-4S",2.057814528,325.9652,5.19536745901639,2,2.596765952
148638,2016-01-02 21:00:00,"north (T29)","T29-4N",2.4497792,328.0956,7.06485633333333,"T29-4S",3.037726208,321.3814,6.56793965573771,2,2.743752704
148639,2016-01-02 22:00:00,"north (T29)","T29-4N",2.057814528,323.0589,6.62056983333333,"T29-4S",3.233708544,325.729,5.85967786440678,2,2.645761536
148645,2016-01-03 04:00:00,"north (T29)","T29-4N",2.645761536,334.9204,9.725496,"T29-4S",2.841743872,323.2821,9.095035,3,2.743752704
149757,2016-01-07 17:00:00,"north (T29)","T29-4N",6.663399424,324.2357,5.40005166666667,"T29-4S",3.331699712,332.7574,-0.568750644067796,7,4.997549568
149758,2016-01-07 18:00:00,"north (T29)","T29-4N",5.095540736,328.152,5.23839766666667,"T29-4S",6.565408256,330.2607,3.58376941666667,7,5.830474496
149759,2016-01-07 19:00:00,"north (T29)","T29-4N",4.605584896,338.0629,4.3652565,"T29-4S",5.095540736,338.5722,2.09142752459016,7,4.850562816
149761,2016-01-07 21:00:00,"north (T29)","T29-4N",6.663399424,336.0842,4.84507216666667,"T29-4S",7.153355264,336.3595,-1.20247665573771,7,6.908377344
149762,2016-01-07 22:00:00,"north (T29)","T29-4N",4.605584896,326.52,3.58058983333333,"T29-4S",6.075452416,339.3178,-9.70494452542373,7,5.340518656
